"LOCATION","Reporter country","FLOW","Flow","PARTNER","Partner country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXP","Exports","LUX","Luxembourg","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,593751,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,346737,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,204027,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,226484,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,205294,,
"AUS","Australia","EXP","Exports","MEX","Mexico","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,32109785,,
"AUS","Australia","EXP","Exports","MEX","Mexico","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,41931517,,
"AUS","Australia","EXP","Exports","MEX","Mexico","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,60866256,,
"AUS","Australia","EXP","Exports","MEX","Mexico","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,84653986,,
"AUS","Australia","EXP","Exports","MEX","Mexico","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,71477058,,
"AUS","Australia","EXP","Exports","MEX","Mexico","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,93257495,,
"AUS","Australia","EXP","Exports","MEX","Mexico","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,118645566,,
"AUS","Australia","EXP","Exports","MEX","Mexico","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,61275543,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,544694944,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,471954996,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,552663557,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,961147999,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,1710715173,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,1781370445,,
